Tul Code,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Freq
CL-011465,607340849.19608,619108865.51568,19,619108865.51568000,32584677.132404210526,13,6.3333333333333333
CL-020704,585753978.063,573735745.98,80,573735745.98000000,7171696.824750000000,97,26.6666666666666667
CL-027346,418029108.7,418029108.7,1,418029108.70000000,418029108.70000000,4,0.33333333333333333333
CL-001901,366969782.27666,375482195.29238,41,375482195.29238000,9158102.324204390244,11,13.6666666666666667
CL-005183,363646298.1564,324505711.702002,13,324505711.70200200,24961977.823230923077,4,4.3333333333333333
CL-030686,320016687.20078,317683398.96278,84,317683398.96278000,3781945.225747380952,32,28.0000000000000000
CL-042921,297280472.26424,307981849.77424,7,307981849.77424000,43997407.110605714286,10,2.3333333333333333
CL-056476,295901685.49,275487679.98,14,275487679.98000000,19677691.427142857143,7,4.6666666666666667
CL-026811,286380869.345,284349161.789278,60,284349161.78927800,4739152.696487966667,47,20.0000000000000000
CL-034315,277664830.18,269445308.3504,36,269445308.35040000,7484591.898622222222,13,12.0000000000000000
CL-059886,211539788.44,209898873.65,13,209898873.65000000,16146067.203846153846,8,4.3333333333333333
CL-037707,187103008.48659,181812593.82,14,181812593.820000000000,12986613.844285714286,34,4.6666666666666667
CL-018877,173692511.87,173397685.31,27,173397685.310000000000,6422136.492962962963,13,9.0000000000000000
CL-007993,165683705.13,160429517.57,18,160429517.570000000000,8912750.976111111111,13,6.0000000000000000
CL-003715,147319115.6796,147319115.67,36,147319115.670000000000,4092197.657500000000,28,12.0000000000000000
CL-021946,147296927.567,145264706.62,84,145264706.620000000000,1729341.745476190476,86,28.0000000000000000
CL-036834,145671439.3,143863956.13,30,143863956.130000000000,4795465.204333333333,10,10.0000000000000000
CL-034630,141760322.75,97198887.91,8,97198887.910000000000,12149860.988750000000,7,2.6666666666666667
CL-010442,137027506.6,137027506.6,6,137027506.600000000000,22837917.766666666667,10,2.0000000000000000
CL-024453,123321323.12,78224986.37,20,78224986.370000000000,3911249.318500000000,38,6.6666666666666667
CL-009063,111478756.52,107913719.14,17,107913719.140000000000,6347865.831764705882,9,5.6666666666666667
CL-005417,103428577.869,103428577.87,16,103428577.870000000000,6464286.116875000000,6,5.3333333333333333
CL-008294,101086777.4,101086776.49,30,101086776.490000000000,3369559.216333333333,27,10.0000000000000000
CL-014023,100228690.298806,91117153.5385084,36,91117153.538508400000,2531032.042736344444,83,12.0000000000000000
CL-029004,97601749.93,96315567.21,25,96315567.210000000000,3852622.688400000000,11,8.3333333333333333
CL-047084,95602855.68,95532916.17,11,95532916.170000000000,8684810.560909090909,10,3.6666666666666667
CL-004225,93844320.33,106936773.03,72,106936773.030000000000,1485232.958750000000,20,24.0000000000000000
CL-029728,93654569.92,88049626.78,24,88049626.780000000000,3668734.449166666667,48,8.0000000000000000
CL-028774,92986190.822,93167739.882,10,93167739.882000000000,9316773.988200000000,36,3.3333333333333333
CL-017543,91737042.32,92464573.67,47,92464573.670000000000,1967331.354680851064,42,15.6666666666666667
CL-030045,91358075.18,90010707.0657133,50,90010707.065713300000,1800214.141314266000,67,16.6666666666666667
CL-042271,89855055.523,88039103.923,13,88039103.923000000000,6772238.763307692308,19,4.3333333333333333
CL-005168,88564388.08,87795823.93,58,87795823.930000000000,1513721.102241379310,110,19.3333333333333333
CL-048712,86054638.73,86102684.03,38,86102684.030000000000,2265860.106052631579,32,12.6666666666666667
