Uuid,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Sku's x Order,Freq
d707bdaa-6c94-480a-b3ed-fc16afd90726,3395378031.24972,3044658978.3225,135,3044658978.32250000,22553029.469055555556,24,0.17777777777777777778,45.0000000000000000
053b3db3-575d-48d9-b22a-b252247eeddb,3182723657.51405,2609406711.46924,571,2609406711.46924000,4570627.004061716287,221,0.38704028021015761821,190.3333333333333333
623be4b1-2738-4b1c-95d2-2b5f8ce200f8,3048424048.86124,2448995028.75636,366,2448995028.75636000,6693094.280973661202,124,0.33879781420765027322,122.0000000000000000
9cc163f2-d924-4934-a016-7418256edb7b,1953516712.64059,1290468938.9833,172,1290468938.98330000,7503094.632826162791,22,0.12790697674418604651,57.3333333333333333
d1213103-073f-4065-b97c-e321a1dbf89a,1759786051.92923,1672919414.9403,59,1672919414.94030000,28354566.354920338983,10,0.16949152542372881356,19.6666666666666667
e7398253-5da7-425a-ad04-81d90c1fa48a,1607204076.53553,1017850024.846,145,1017850024.84600000,7019680.950662068966,21,0.14482758620689655172,48.3333333333333333
d5a4f2cd-88b0-4b94-8996-aeb3abaa5901,1538633509.59511,1013874387.99398,153,1013874387.99398000,6626944.188232483660,166,1.08496732026143790850,51.0000000000000000
f9e7b72d-53f4-4fed-81cf-7ab2b0b1c0aa,1482588137.96703,1326806724.3907,157,1326806724.39070000,8450998.244526751592,46,0.29299363057324840764,52.3333333333333333
e103e91d-783b-4232-b32c-4db931176515,1470229711.47934,1153948735.55716,183,1153948735.55716000,6305730.795394316940,87,0.47540983606557377049,61.0000000000000000
73cbe845-90b9-4518-b06d-d28ae5142aa8,1448894616.01695,1126965595.10851,997,1126965595.10851000,1130356.665103821464,85,0.08525576730190571715,332.3333333333333333
555c23b7-1ce6-4ca8-b91a-2194ace9fd84,1430588048.38053,1201911861.52208,304,1201911861.52208000,3953657.439217368421,162,0.53289473684210526316,101.3333333333333333
e6b88882-7252-4a15-aa78-084e35cc0722,1370583536.62469,1202146121.06248,371,1202146121.06248000,3241816.571252749326,104,0.28032345013477088949,123.6666666666666667
